epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.96668,1.2347,1.61923,1.36554,0.00017,0.00469,0.00012,1e-05,3.73788,5.08972,3.059,8.33e-06,8.33e-06,8.33e-06
1,4.22109,1.20983,2.57732,1.70208,0,0,0,0,3.74549,4.96644,3.11593,0,0,0
1,870.274,1.02223,1.00073,1.18465,0.71532,0.59957,0.65456,0.48195,0.95423,0.9271,1.10247,0.00333288,0.00333288,0.00333288
2,1711.4,0.98255,0.97166,1.15461,0.71835,0.60828,0.66348,0.49319,0.93848,0.89893,1.10081,0.00633624,0.00633624,0.00633624
3,2536.95,0.97495,0.97257,1.15053,0.71222,0.62107,0.66945,0.49974,0.93011,0.88507,1.09816,0.00900959,0.00900959,0.00900959
4,3357.62,0.96739,0.96705,1.14659,0.71606,0.61731,0.66883,0.5018,0.92281,0.87472,1.09083,0.008515,0.008515,0.008515
5,4180.5,0.95565,0.94405,1.13768,0.714,0.62185,0.67266,0.50568,0.91729,0.86729,1.08359,0.00802,0.00802,0.00802
6,5003.12,0.94811,0.93202,1.13277,0.72335,0.62281,0.67433,0.5082,0.9139,0.86414,1.08146,0.007525,0.007525,0.007525
7,5825.22,0.94255,0.92384,1.13002,0.71707,0.62622,0.67586,0.50857,0.91346,0.86097,1.08092,0.00703,0.00703,0.00703
8,6648.19,0.93844,0.91475,1.1258,0.7227,0.62231,0.67685,0.51004,0.91277,0.86056,1.07981,0.006535,0.006535,0.006535
9,7471.29,0.93455,0.90893,1.12443,0.716,0.62651,0.67738,0.51053,0.91173,0.85929,1.07871,0.00604,0.00604,0.00604
10,8299.63,0.93108,0.90225,1.12158,0.72254,0.62338,0.678,0.51111,0.91143,0.85823,1.07815,0.005545,0.005545,0.005545
11,9116.45,0.89627,0.81446,1.08411,0.71815,0.62697,0.67854,0.51147,0.91046,0.8578,1.07796,0.00505,0.00505,0.00505
12,9935,0.89172,0.80184,1.08117,0.72131,0.62869,0.67837,0.51157,0.90976,0.85829,1.0776,0.004555,0.004555,0.004555
13,10752.1,0.88672,0.79358,1.07672,0.72991,0.62404,0.67862,0.51176,0.90854,0.85795,1.07693,0.00406,0.00406,0.00406
14,11571.7,0.88342,0.78534,1.07636,0.73463,0.62264,0.67931,0.51207,0.90842,0.85738,1.07718,0.003565,0.003565,0.003565
15,12392,0.87954,0.77763,1.07205,0.72972,0.62603,0.6792,0.51194,0.90831,0.85758,1.07678,0.00307,0.00307,0.00307
16,13209.5,0.87594,0.7713,1.07076,0.73281,0.62521,0.67898,0.51186,0.90795,0.85799,1.07647,0.002575,0.002575,0.002575
17,14027.6,0.87349,0.76306,1.07035,0.72886,0.62748,0.67904,0.51181,0.9077,0.85736,1.07659,0.00208,0.00208,0.00208
18,14844.6,0.87031,0.75742,1.06689,0.72736,0.62812,0.67892,0.51166,0.90714,0.85709,1.07593,0.001585,0.001585,0.001585
19,15661.3,0.86531,0.7498,1.06322,0.73372,0.62147,0.67871,0.51122,0.90745,0.85702,1.07548,0.00109,0.00109,0.00109
20,16477.7,0.86198,0.7415,1.06163,0.73503,0.62114,0.67852,0.51147,0.90719,0.85746,1.07483,0.000595,0.000595,0.000595
