epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.13372,1.50762,2.09029,1.51314,1e-05,0.001,0,0,3.93406,5.21539,3.00441,8.33e-06,8.33e-06,8.33e-06
1,3.64412,1.30914,3.58006,1.72915,0.00014,0.01667,9e-05,3e-05,3.9034,5.59236,2.96787,0,0,0
1,698.393,1.08143,1.09535,1.19333,0.69306,0.58214,0.63187,0.45858,0.998,0.98038,1.10208,0.00333288,0.00333288,0.00333288
2,1375.48,1.02119,1.03251,1.14807,0.69605,0.5944,0.64277,0.47292,0.97651,0.94928,1.0936,0.00633624,0.00633624,0.00633624
3,2043.41,1.01211,1.02624,1.14187,0.69477,0.59936,0.64868,0.47942,0.96491,0.93322,1.0873,0.00900959,0.00900959,0.00900959
4,2708.01,1.00244,1.01712,1.13834,0.70655,0.60424,0.65372,0.48363,0.9604,0.92346,1.08215,0.008515,0.008515,0.008515
5,3372.03,0.98844,0.99412,1.12926,0.71041,0.60577,0.65524,0.48553,0.95549,0.91533,1.07792,0.00802,0.00802,0.00802
6,4037.66,0.98151,0.98087,1.12398,0.70668,0.60805,0.65641,0.48747,0.95243,0.91211,1.07504,0.007525,0.007525,0.007525
7,4701.95,0.97637,0.97235,1.12171,0.70328,0.60898,0.65658,0.48813,0.95082,0.90988,1.0733,0.00703,0.00703,0.00703
8,5379.35,0.9719,0.96484,1.11813,0.70407,0.60987,0.65708,0.48813,0.95002,0.90844,1.07268,0.006535,0.006535,0.006535
9,6044.24,0.96789,0.95899,1.11401,0.70552,0.60871,0.65714,0.48841,0.94878,0.90688,1.07153,0.00604,0.00604,0.00604
10,6707.88,0.96418,0.95237,1.11489,0.69899,0.61299,0.65754,0.48911,0.94765,0.90614,1.07066,0.005545,0.005545,0.005545
11,7368.79,0.93164,0.8628,1.07606,0.70373,0.60967,0.65751,0.48904,0.94655,0.90574,1.06979,0.00505,0.00505,0.00505
12,8028.84,0.92559,0.85067,1.07291,0.70483,0.60772,0.65763,0.48968,0.94485,0.90554,1.06829,0.004555,0.004555,0.004555
13,8690.24,0.92216,0.84269,1.07123,0.70884,0.60415,0.65837,0.49041,0.94316,0.90508,1.06724,0.00406,0.00406,0.00406
14,9351.7,0.91819,0.83411,1.06749,0.70856,0.60296,0.65803,0.49043,0.94253,0.90492,1.06608,0.003565,0.003565,0.003565
15,10012.3,0.91456,0.82651,1.06605,0.71365,0.60171,0.65882,0.49118,0.94166,0.9045,1.06475,0.00307,0.00307,0.00307
16,10672.8,0.91091,0.8199,1.06439,0.71197,0.60293,0.65875,0.49105,0.94121,0.90426,1.0642,0.002575,0.002575,0.002575
17,11333,0.9078,0.81203,1.06259,0.70819,0.60561,0.65801,0.49056,0.94069,0.90445,1.06384,0.00208,0.00208,0.00208
18,11993.6,0.90507,0.80581,1.06143,0.71037,0.60363,0.65785,0.4908,0.94033,0.90417,1.06374,0.001585,0.001585,0.001585
19,12654.4,0.89935,0.79756,1.05917,0.70872,0.60553,0.65837,0.49117,0.94001,0.90434,1.06353,0.00109,0.00109,0.00109
20,13314.5,0.89598,0.78926,1.05719,0.70935,0.60641,0.65802,0.49109,0.93966,0.90464,1.06342,0.000595,0.000595,0.000595
