epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06644,1.58299,2.53965,1.48635,1e-05,0.00083,0,0,3.88621,5.36686,2.95352,8.33e-06,8.33e-06,8.33e-06
1,302.544,1.2945,1.54806,1.29183,0.59701,0.45984,0.48661,0.33164,1.21565,1.3026,1.20169,0.00333288,0.00333288,0.00333288
2,594.578,1.26634,1.49613,1.27012,0.62459,0.45978,0.5016,0.34614,1.19313,1.27123,1.19354,0.00633624,0.00633624,0.00633624
3,874.034,1.27274,1.51333,1.27386,0.61228,0.46975,0.50538,0.34892,1.18466,1.25878,1.18839,0.00900959,0.00900959,0.00900959
4,1149.58,1.26936,1.52064,1.27288,0.62144,0.46851,0.50627,0.35173,1.17898,1.25056,1.18396,0.008515,0.008515,0.008515
1,2.82348,1.34799,4.29169,1.5971,0,0,0,0,3.6927,4.71838,2.94017,0,0,0
1,2.86816,1.34799,4.29169,1.5971,0,0,0,0,3.6927,4.71838,2.94017,0,0,0
1,2.92077,1.34799,4.29169,1.5971,0,0,0,0,3.6927,4.71838,2.94017,0,0,0
1,2.95503,1.34799,4.29169,1.5971,0,0,0,0,3.6927,4.71838,2.94017,0,0,0
1,2.92034,1.34799,4.29169,1.5971,0,0,0,0,3.6927,4.71838,2.94017,0,0,0
1,2.79598,1.34799,4.29169,1.5971,0,0,0,0,3.6927,4.71838,2.94017,0,0,0
1,2.88393,1.34799,4.29169,1.5971,0,0,0,0,3.6927,4.71838,2.94017,0,0,0
1,305.699,1.2945,1.54806,1.29183,0.59701,0.45984,0.48661,0.33164,1.21565,1.3026,1.20169,0.00333288,0.00333288,0.00333288
2,595.708,1.26634,1.49613,1.27012,0.62459,0.45978,0.5016,0.34614,1.19313,1.27123,1.19354,0.00633624,0.00633624,0.00633624
3,873.408,1.27274,1.51333,1.27386,0.61228,0.46975,0.50538,0.34892,1.18466,1.25878,1.18839,0.00900959,0.00900959,0.00900959
4,1148.24,1.26936,1.52064,1.27288,0.62144,0.46851,0.50627,0.35173,1.17898,1.25056,1.18396,0.008515,0.008515,0.008515
5,1422.2,1.25646,1.49566,1.26444,0.62185,0.47108,0.50974,0.355,1.17606,1.24147,1.18048,0.00802,0.00802,0.00802
6,1705.89,1.24831,1.48072,1.25896,0.62545,0.47102,0.5111,0.35553,1.17266,1.23805,1.17685,0.007525,0.007525,0.007525
7,1989.3,1.24213,1.46969,1.25628,0.63097,0.47003,0.51148,0.35674,1.17147,1.2365,1.17613,0.00703,0.00703,0.00703
8,2273.05,1.23734,1.46039,1.25302,0.63242,0.4701,0.51271,0.35796,1.17098,1.23599,1.17576,0.006535,0.006535,0.006535
9,2556.55,1.23218,1.45307,1.25008,0.63471,0.46911,0.51352,0.3587,1.17042,1.23543,1.17492,0.00604,0.00604,0.00604
10,2839.91,1.22724,1.44369,1.24811,0.62914,0.47269,0.51334,0.35867,1.16935,1.23527,1.17399,0.005545,0.005545,0.005545
11,3118.72,1.20452,1.33545,1.22501,0.62916,0.47401,0.51436,0.35952,1.16743,1.23162,1.1724,0.00505,0.00505,0.00505
12,3396.9,1.19694,1.31482,1.22106,0.63084,0.47425,0.51449,0.35956,1.16633,1.22831,1.17137,0.004555,0.004555,0.004555
13,3674.98,1.1922,1.30244,1.21648,0.63003,0.47523,0.51499,0.36037,1.16556,1.22573,1.17102,0.00406,0.00406,0.00406
14,3953.35,1.18799,1.2921,1.21403,0.63577,0.47169,0.51542,0.361,1.1643,1.22296,1.17034,0.003565,0.003565,0.003565
15,4230.69,1.18306,1.28206,1.21174,0.63987,0.47176,0.51581,0.36128,1.16345,1.22071,1.16952,0.00307,0.00307,0.00307
16,4508,1.17845,1.2715,1.20807,0.63912,0.47299,0.51611,0.36165,1.16278,1.21854,1.16895,0.002575,0.002575,0.002575
17,4785.84,1.17427,1.26166,1.20621,0.63704,0.47288,0.51615,0.36172,1.16243,1.21742,1.16862,0.00208,0.00208,0.00208
18,5063.1,1.1702,1.2525,1.20296,0.63081,0.47688,0.51631,0.36219,1.16192,1.21661,1.16794,0.001585,0.001585,0.001585
19,5340.33,1.16356,1.24144,1.19994,0.63186,0.47776,0.51655,0.36223,1.16147,1.216,1.16751,0.00109,0.00109,0.00109
20,5617.68,1.15808,1.23031,1.19697,0.63355,0.47794,0.51715,0.36263,1.16108,1.21548,1.16723,0.000595,0.000595,0.000595
