epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.58229,1.33672,1.74444,1.35934,0,0.00039,0,0,3.92698,5.74682,2.99348,8.33e-06,8.33e-06,8.33e-06
1,2.85159,1.37094,3.34471,1.64176,0,0,0,0,3.66565,6.82627,2.95182,0,0,0
1,400.104,1.13298,1.17696,1.19603,0.68152,0.53467,0.58682,0.41791,1.08132,1.07319,1.11968,0.00333288,0.00333288,0.00333288
2,785.967,1.10792,1.15273,1.17358,0.68902,0.54242,0.59646,0.42904,1.06379,1.05318,1.11236,0.00633624,0.00633624,0.00633624
3,1166.91,1.10551,1.15622,1.17051,0.68752,0.55002,0.6006,0.43357,1.05496,1.03675,1.10468,0.00900959,0.00900959,0.00900959
4,1545.76,1.09802,1.15133,1.16663,0.6876,0.54602,0.60255,0.43586,1.05059,1.02576,1.1025,0.008515,0.008515,0.008515
5,1922.07,1.08545,1.12891,1.15903,0.68586,0.55206,0.60603,0.43917,1.04517,1.02011,1.09815,0.00802,0.00802,0.00802
6,2298.39,1.079,1.11721,1.15482,0.67867,0.55751,0.60764,0.44114,1.04276,1.01756,1.09626,0.007525,0.007525,0.007525
7,2674.15,1.07382,1.10912,1.15188,0.69133,0.55393,0.60885,0.44205,1.0424,1.01462,1.09563,0.00703,0.00703,0.00703
8,3049.73,1.06835,1.10075,1.1493,0.69471,0.55196,0.6093,0.44281,1.04193,1.01307,1.09512,0.006535,0.006535,0.006535
9,3425.6,1.06491,1.09617,1.14721,0.697,0.55219,0.60993,0.44348,1.04149,1.01309,1.09487,0.00604,0.00604,0.00604
10,3801.22,1.06059,1.08889,1.14545,0.69072,0.55598,0.61121,0.44407,1.04107,1.01268,1.09462,0.005545,0.005545,0.005545
11,4172.71,1.02922,0.98836,1.11182,0.69307,0.55641,0.61145,0.44454,1.03879,1.01164,1.09282,0.00505,0.00505,0.00505
12,4543.39,1.02234,0.97361,1.10892,0.69278,0.55605,0.61122,0.44477,1.03689,1.01159,1.09138,0.004555,0.004555,0.004555
13,4914.74,1.0191,0.96573,1.10619,0.696,0.55493,0.61134,0.44472,1.03526,1.01098,1.09049,0.00406,0.00406,0.00406
14,5285.2,1.01523,0.95621,1.10462,0.69457,0.55823,0.61147,0.44461,1.03455,1.00962,1.0903,0.003565,0.003565,0.003565
15,5655.82,1.01057,0.9492,1.10215,0.68984,0.55976,0.61133,0.44487,1.03368,1.00813,1.08965,0.00307,0.00307,0.00307
16,6026.5,1.00687,0.94097,1.09954,0.68548,0.56287,0.61152,0.44513,1.03351,1.00779,1.08958,0.002575,0.002575,0.002575
17,6397.41,1.00353,0.93319,1.09806,0.68799,0.56007,0.61158,0.44529,1.03287,1.00702,1.08896,0.00208,0.00208,0.00208
18,6767.05,1.00075,0.92642,1.09587,0.6861,0.56084,0.61159,0.44564,1.03245,1.00661,1.0887,0.001585,0.001585,0.001585
19,7136.69,0.99455,0.91775,1.09324,0.68417,0.56215,0.61149,0.44557,1.03217,1.00633,1.08829,0.00109,0.00109,0.00109
20,7506.23,0.99202,0.91116,1.0911,0.68521,0.56293,0.61175,0.44584,1.0321,1.00614,1.08826,0.000595,0.000595,0.000595
