epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16415,1.1161,1.33594,1.30612,0,0,0,0,3.78804,5.89673,3.12521,8.33e-06,8.33e-06,8.33e-06
1,1328.82,0.96302,0.88422,1.15437,0.7224,0.62682,0.67403,0.49849,0.92614,0.88396,1.0967,0.00333288,0.00333288,0.00333288
2,2631.06,0.92522,0.8621,1.12295,0.72446,0.62851,0.68167,0.51239,0.91233,0.85886,1.09312,0.00633624,0.00633624,0.00633624
3,3921.58,0.91314,0.85426,1.11717,0.72404,0.64064,0.68982,0.51946,0.9067,0.84636,1.09348,0.00900959,0.00900959,0.00900959
4,5213.75,0.90429,0.84537,1.11326,0.71942,0.64328,0.69023,0.52123,0.89873,0.83823,1.08547,0.008515,0.008515,0.008515
5,6500.86,0.89393,0.82689,1.10705,0.72522,0.64317,0.69393,0.52533,0.89643,0.83066,1.08315,0.00802,0.00802,0.00802
6,7785.75,0.88745,0.81551,1.09839,0.7253,0.6449,0.69572,0.52649,0.89334,0.82754,1.07858,0.007525,0.007525,0.007525
7,9075.35,0.88279,0.80819,1.09633,0.72758,0.64571,0.69586,0.52696,0.89159,0.82616,1.07694,0.00703,0.00703,0.00703
8,10371.2,0.87868,0.80197,1.09437,0.72341,0.64546,0.69539,0.52707,0.89021,0.82579,1.07602,0.006535,0.006535,0.006535
9,11656,0.87584,0.79695,1.09417,0.72819,0.64394,0.69616,0.5277,0.8898,0.82502,1.07564,0.00604,0.00604,0.00604
10,12941,0.8727,0.79187,1.09373,0.73514,0.63974,0.69596,0.52845,0.88853,0.82518,1.07488,0.005545,0.005545,0.005545
11,14227.7,inf,0.7025,1.04887,0.73728,0.63977,0.69644,0.52832,0.88731,0.82557,1.0745,0.00505,0.00505,0.00505
12,15515.1,0.83197,0.69334,1.04606,0.7388,0.63903,0.69633,0.5279,0.88664,0.8254,1.07391,0.004555,0.004555,0.004555
13,16799.1,0.82853,0.68596,1.0445,0.73518,0.64052,0.69653,0.5279,0.88569,0.82574,1.07344,0.00406,0.00406,0.00406
14,18080.9,0.82617,0.67898,1.04303,0.73356,0.64121,0.69719,0.52855,0.88565,0.82721,1.07345,0.003565,0.003565,0.003565
15,19375.6,0.82299,0.6725,1.04191,0.73774,0.63895,0.69743,0.52903,0.88578,0.82731,1.07369,0.00307,0.00307,0.00307
16,20657.3,0.8195,0.66658,1.03934,0.74317,0.63572,0.69736,0.52898,0.88528,0.82789,1.07281,0.002575,0.002575,0.002575
17,21939.1,0.81597,0.65949,1.03532,0.74209,0.63639,0.69774,0.52932,0.88448,0.82892,1.07149,0.00208,0.00208,0.00208
18,23221.2,0.81369,0.65385,1.03436,0.73598,0.64052,0.69761,0.52977,0.88399,0.82867,1.07081,0.001585,0.001585,0.001585
19,24506,0.81,0.64601,1.03285,0.73586,0.64102,0.69724,0.52929,0.88382,0.82899,1.07033,0.00109,0.00109,0.00109
20,25789.5,0.80691,0.63836,1.03042,0.73325,0.64176,0.69711,0.52873,0.88407,0.82985,1.06995,0.000595,0.000595,0.000595
