epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8955,2.27909,2.74695,2.44596,0,0.0005,0,0,6.88767,9.95411,5.64365,8.33e-06,8.33e-06,8.33e-06
1,11.8915,2.07168,3.68916,2.82563,0,0,0,0,7.35135,9.8874,6.22129,0,0,0
1,923.603,2.16518,2.08359,2.35225,0.70868,0.58787,0.64647,0.47378,2.10312,2.06914,2.25356,0.00333288,0.00333288,0.00333288
2,1818.55,2.16272,2.08523,2.33633,0.70068,0.60323,0.65701,0.48774,2.06321,2.03328,2.23817,0.00633624,0.00633624,0.00633624
3,2696.6,2.15459,2.08308,2.32677,0.70908,0.6027,0.65853,0.48916,2.05247,2.014,2.23672,0.00900959,0.00900959,0.00900959
4,3572.49,2.13208,2.06662,2.31628,0.71746,0.60071,0.66386,0.49538,2.04301,1.98722,2.22946,0.008515,0.008515,0.008515
5,4448.33,2.10603,2.02444,2.29987,0.72742,0.59703,0.66642,0.4985,2.03491,1.97771,2.2242,0.00802,0.00802,0.00802
6,5326.47,2.09046,2.00702,2.28727,0.72091,0.60535,0.66763,0.50019,2.03272,1.97087,2.22069,0.007525,0.007525,0.007525
7,6201.24,2.07948,1.99031,2.28228,0.72037,0.60135,0.66773,0.50043,2.0287,1.96675,2.21781,0.00703,0.00703,0.00703
8,7077.79,2.06946,1.97784,2.27655,0.72028,0.6024,0.66908,0.50188,2.02603,1.96372,2.21515,0.006535,0.006535,0.006535
9,7954.09,2.06246,1.97273,2.27232,0.71627,0.60976,0.66994,0.50266,2.02289,1.96293,2.21288,0.00604,0.00604,0.00604
10,8827.03,2.05516,1.9539,2.26864,0.71934,0.60987,0.67135,0.50306,2.02169,1.95976,2.21192,0.005545,0.005545,0.005545
11,9694.96,1.96363,1.71759,2.18151,0.71373,0.61606,0.67121,0.50338,2.01899,1.95853,2.20981,0.00505,0.00505,0.00505
12,10562.2,1.95348,1.69586,2.17608,0.72189,0.61281,0.67196,0.50472,2.01594,1.96021,2.20825,0.004555,0.004555,0.004555
13,11427.8,1.94591,1.68126,2.16922,0.71697,0.61829,0.67232,0.50469,2.01599,1.9591,2.20744,0.00406,0.00406,0.00406
14,12293.7,1.93902,1.66638,2.16814,0.72181,0.61519,0.67263,0.50481,2.01504,1.95775,2.20646,0.003565,0.003565,0.003565
15,13160.5,1.93211,1.65399,2.16483,0.72344,0.61682,0.67429,0.5063,2.01502,1.95622,2.20633,0.00307,0.00307,0.00307
16,14027.5,1.92507,1.64358,2.15739,0.72287,0.6162,0.67503,0.50655,2.01345,1.95573,2.20512,0.002575,0.002575,0.002575
17,14900.3,1.91857,1.63169,2.15511,0.72487,0.61539,0.67582,0.50716,2.01307,1.95289,2.20471,0.00208,0.00208,0.00208
18,15765.4,1.91318,1.61951,2.15271,0.72445,0.61518,0.67634,0.50753,2.01159,1.9523,2.20316,0.001585,0.001585,0.001585
19,16630.9,1.90439,1.60932,2.1471,0.72125,0.61477,0.67601,0.50745,2.01063,1.95179,2.20198,0.00109,0.00109,0.00109
20,17497.1,1.89732,1.59639,2.14243,0.72389,0.61317,0.67659,0.50743,2.00989,1.95084,2.20083,0.000595,0.000595,0.000595
