epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7117,2.2625,2.63136,2.46349,0,0,0,0,6.90332,10.8495,5.62242,8.33e-06,8.33e-06,8.33e-06
1,1378.68,2.10666,1.99365,2.35748,0.71674,0.60748,0.66408,0.49193,2.02873,1.98597,2.24925,0.00333288,0.00333288,0.00333288
2,2721.57,2.09749,1.98789,2.33413,0.71962,0.60344,0.67029,0.50049,1.99976,1.95452,2.23574,0.00633624,0.00633624,0.00633624
3,4046.52,2.08988,1.99141,2.32578,0.72067,0.6126,0.67445,0.50558,1.98912,1.9379,2.2404,0.00900959,0.00900959,0.00900959
4,5373.21,2.06946,1.97707,2.31481,0.72862,0.61636,0.67717,0.50882,1.97517,1.91444,2.22788,0.008515,0.008515,0.008515
5,6701.55,2.04166,1.94157,2.29944,0.73665,0.61159,0.68069,0.51218,1.96793,1.90365,2.22468,0.00802,0.00802,0.00802
6,8020.55,2.02679,1.92027,2.28623,0.73287,0.61557,0.68242,0.51466,1.96082,1.89536,2.21861,0.007525,0.007525,0.007525
7,9340.12,2.01698,1.90498,2.27868,0.72856,0.61987,0.68346,0.51559,1.95811,1.89228,2.21442,0.00703,0.00703,0.00703
8,10658.5,2.00685,1.88821,2.27519,0.72334,0.62373,0.68474,0.51676,1.95525,1.8907,2.21271,0.006535,0.006535,0.006535
9,11981.6,1.99979,1.8795,2.26888,0.72969,0.61968,0.68516,0.51758,1.95372,1.88659,2.21122,0.00604,0.00604,0.00604
10,13303.6,1.99101,1.86632,2.26689,0.72655,0.62385,0.68479,0.51754,1.95231,1.88533,2.20981,0.005545,0.005545,0.005545
11,14620.1,1.90385,1.64411,2.18063,0.72492,0.62413,0.68639,0.51896,1.94853,1.8841,2.20778,0.00505,0.00505,0.00505
12,15934.9,1.89512,1.62713,2.18019,0.73109,0.62389,0.68729,0.52023,1.94692,1.88145,2.20765,0.004555,0.004555,0.004555
13,17248.6,1.88897,1.61393,2.17401,0.73019,0.62496,0.68752,0.52032,1.94488,1.88186,2.20673,0.00406,0.00406,0.00406
14,18562.4,1.87931,1.59865,2.16718,0.73565,0.6239,0.68884,0.5209,1.94465,1.88075,2.2065,0.003565,0.003565,0.003565
15,19879.9,1.87222,1.5838,2.16038,0.74004,0.62308,0.68938,0.52137,1.94419,1.87901,2.20558,0.00307,0.00307,0.00307
16,21193.6,1.86559,1.5729,2.15768,0.74069,0.62299,0.6902,0.5221,1.94343,1.87754,2.20528,0.002575,0.002575,0.002575
17,22510.5,1.8601,1.56261,2.15511,0.73477,0.62518,0.6905,0.52155,1.94256,1.8752,2.20354,0.00208,0.00208,0.00208
18,23829.5,1.85414,1.55083,2.15077,0.73475,0.62492,0.69107,0.5223,1.94104,1.87606,2.20114,0.001585,0.001585,0.001585
19,25143.1,1.84356,1.53703,2.14742,0.73098,0.62812,0.69077,0.522,1.94181,1.87412,2.20041,0.00109,0.00109,0.00109
20,26455.6,1.83764,1.52569,2.14092,0.731,0.62818,0.69072,0.52189,1.94111,1.87405,2.19917,0.000595,0.000595,0.000595
