epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39718,1.05976,1.15704,1.23124,1e-05,0.00122,1e-05,0,3.65227,5.1868,2.9607,8.33e-06,8.33e-06,8.33e-06
1,3.28089,0.98391,2.21932,1.41825,0,0,0,0,3.56333,5.12811,2.91528,0,0,0
1,864.592,0.97285,0.92361,1.14022,0.72708,0.59596,0.65663,0.48642,0.95383,0.93503,1.08365,0.00333288,0.00333288,0.00333288
2,1710.5,0.97154,0.94666,1.13262,0.71984,0.60395,0.66119,0.49222,0.94639,0.91815,1.08319,0.00633624,0.00633624,0.00633624
3,2549.41,0.96917,0.95079,1.13036,0.71524,0.6077,0.66162,0.49397,0.94085,0.91099,1.08405,0.00900959,0.00900959,0.00900959
4,3388.88,0.96029,0.94212,1.1256,0.71721,0.60606,0.66368,0.49612,0.93698,0.90124,1.07877,0.008515,0.008515,0.008515
5,4222.68,0.94726,0.92032,1.11844,0.73255,0.59986,0.66537,0.498,0.93304,0.89531,1.07595,0.00802,0.00802,0.00802
6,5059.72,0.94076,0.90807,1.11164,0.71511,0.61022,0.66663,0.49902,0.93086,0.8909,1.07274,0.007525,0.007525,0.007525
7,5891.79,0.93548,0.89911,1.10952,0.71173,0.61223,0.66775,0.50018,0.92852,0.88899,1.07058,0.00703,0.00703,0.00703
8,6729.09,0.93202,0.89329,1.10835,0.71353,0.61349,0.66836,0.5008,0.92811,0.88782,1.07041,0.006535,0.006535,0.006535
9,7575.61,0.92861,0.88824,1.10514,0.71643,0.61311,0.66854,0.50115,0.92743,0.88751,1.0697,0.00604,0.00604,0.00604
10,8408.26,0.92536,0.88112,1.10274,0.71791,0.61367,0.66846,0.50155,0.92714,0.88694,1.06925,0.005545,0.005545,0.005545
11,9237.83,0.89066,0.79342,1.06302,0.72171,0.61149,0.66844,0.50219,0.92569,0.8863,1.068,0.00505,0.00505,0.00505
12,10067.2,0.88602,0.78441,1.06094,0.7202,0.61244,0.66891,0.50223,0.92441,0.88631,1.06745,0.004555,0.004555,0.004555
13,10899.9,0.88262,0.77801,1.05944,0.72029,0.61189,0.66862,0.50267,0.92346,0.88578,1.06681,0.00406,0.00406,0.00406
14,11729.4,0.88004,0.76926,1.05854,0.72028,0.61096,0.6684,0.50276,0.92266,0.88471,1.0665,0.003565,0.003565,0.003565
15,12562.1,0.87667,0.76319,1.05628,0.7182,0.6123,0.66769,0.50197,0.92226,0.88371,1.06621,0.00307,0.00307,0.00307
16,13395.1,0.87443,0.75714,1.05389,0.71869,0.61287,0.66772,0.50196,0.92188,0.88336,1.06573,0.002575,0.002575,0.002575
17,14223,0.87182,0.75015,1.05197,0.71852,0.61392,0.66788,0.50237,0.92128,0.88321,1.06526,0.00208,0.00208,0.00208
18,15051.7,0.869,0.74349,1.05057,0.72063,0.61241,0.66807,0.50265,0.92091,0.88279,1.06475,0.001585,0.001585,0.001585
19,15880.3,0.86529,0.73695,1.04897,0.71673,0.61362,0.66824,0.50277,0.92112,0.88225,1.06466,0.00109,0.00109,0.00109
20,16716.8,0.86231,0.73019,1.04742,0.71458,0.61374,0.66824,0.50239,0.92114,0.88207,1.06441,0.000595,0.000595,0.000595
