epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17886,1.14239,1.48582,1.25819,0,0,0,0,3.89119,5.66766,3.12494,8.33e-06,8.33e-06,8.33e-06
1,2.85578,1.08591,2.7694,1.45041,0,0,0,0,3.75307,6.58357,3.04245,0,0,0
1,597.642,1.04183,1.05365,1.16187,0.69445,0.56622,0.61397,0.44381,1.01415,1.02279,1.09985,0.00333288,0.00333288,0.00333288
2,1179.22,1.03932,1.07036,1.15371,0.70607,0.57162,0.62482,0.45571,1.00597,1.004,1.09831,0.00633624,0.00633624,0.00633624
3,1753.86,1.04028,1.07835,1.15326,0.69717,0.57809,0.62479,0.45624,1.00151,0.9961,1.09731,0.00900959,0.00900959,0.00900959
4,2326.3,1.03368,1.07239,1.14948,0.71384,0.57264,0.6285,0.46038,0.9938,0.98432,1.09172,0.008515,0.008515,0.008515
5,2897.78,1.02088,1.04921,1.14148,0.70678,0.58023,0.63128,0.46258,0.99038,0.97748,1.08795,0.00802,0.00802,0.00802
6,3469.06,1.01264,1.03597,1.13605,0.6919,0.58153,0.63132,0.46395,0.98648,0.97389,1.08502,0.007525,0.007525,0.007525
7,4043.56,1.00634,1.0253,1.13268,0.69396,0.58103,0.63257,0.4649,0.98409,0.96998,1.08302,0.00703,0.00703,0.00703
8,4617.81,1.00241,1.01776,1.12983,0.68718,0.5859,0.63309,0.46574,0.98324,0.96898,1.08227,0.006535,0.006535,0.006535
9,5192.09,0.9981,1.0128,1.12702,0.68848,0.58592,0.63349,0.46607,0.98274,0.96771,1.08166,0.00604,0.00604,0.00604
10,5763.88,0.99507,1.00474,1.12619,0.6886,0.586,0.6339,0.46594,0.98161,0.96669,1.08077,0.005545,0.005545,0.005545
11,6334.97,0.96492,0.91878,1.09071,0.6899,0.58527,0.63394,0.46635,0.98047,0.96608,1.07975,0.00505,0.00505,0.00505
12,6911.27,0.96019,0.90673,1.08876,0.69371,0.58232,0.63413,0.4672,0.97881,0.96507,1.07819,0.004555,0.004555,0.004555
13,7480.83,0.95645,0.89868,1.08499,0.70112,0.57994,0.63426,0.46729,0.97764,0.96366,1.07708,0.00406,0.00406,0.00406
14,8049.47,0.95221,0.89012,1.08348,0.70075,0.58156,0.63442,0.46807,0.97659,0.96255,1.07607,0.003565,0.003565,0.003565
15,8618.54,0.94893,0.8823,1.08143,0.70065,0.58194,0.63456,0.46841,0.97657,0.96166,1.07571,0.00307,0.00307,0.00307
16,9187.59,0.94604,0.87537,1.07928,0.70011,0.58162,0.63489,0.46867,0.97591,0.96102,1.07509,0.002575,0.002575,0.002575
17,9757.35,0.94315,0.86857,1.07785,0.70112,0.58016,0.6347,0.46864,0.97533,0.96032,1.07449,0.00208,0.00208,0.00208
18,10326.6,0.93969,0.86135,1.0765,0.69867,0.58234,0.63494,0.46847,0.97498,0.95995,1.07416,0.001585,0.001585,0.001585
19,10895.5,0.93526,0.85322,1.07417,0.70331,0.58133,0.63489,0.46833,0.9743,0.95917,1.07357,0.00109,0.00109,0.00109
20,11464.3,0.93197,0.84456,1.07168,0.70521,0.5811,0.63506,0.46825,0.97436,0.95891,1.0733,0.000595,0.000595,0.000595
