epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57833,1.42745,2.48161,1.4154,1e-05,0.00094,0,0,3.72086,4.77452,2.87947,8.33e-06,8.33e-06,8.33e-06
1,2.64136,1.16037,4.17329,1.47261,0.00028,0.03333,0.0002,0.00011,3.63911,4.53044,2.78935,0,0,0
1,279.524,1.27487,1.57831,1.28643,0.58221,0.43929,0.4628,0.31663,1.21995,1.36707,1.21399,0.00333288,0.00333288,0.00333288
2,549.17,1.26552,1.55615,1.27691,0.60621,0.43416,0.47409,0.32817,1.20303,1.33667,1.20619,0.00633624,0.00633624,0.00633624
3,813.991,1.27347,1.57654,1.28148,0.60653,0.43617,0.47721,0.33013,1.19987,1.32639,1.20633,0.00900959,0.00900959,0.00900959
4,1076.23,1.27197,1.58268,1.28196,0.58249,0.44963,0.4807,0.33345,1.195,1.31511,1.20147,0.008515,0.008515,0.008515
5,1339,1.26,1.55496,1.27408,0.59391,0.44871,0.48371,0.33589,1.18905,1.30344,1.19703,0.00802,0.00802,0.00802
6,1602.27,1.25164,1.53863,1.26791,0.59595,0.45097,0.48465,0.33679,1.18676,1.3002,1.19481,0.007525,0.007525,0.007525
7,1865.49,1.24499,1.52695,1.26425,0.60314,0.45262,0.48598,0.33803,1.18545,1.29767,1.19352,0.00703,0.00703,0.00703
8,2128.97,1.24012,1.51812,1.262,0.60225,0.45313,0.48608,0.33859,1.18298,1.29521,1.19169,0.006535,0.006535,0.006535
9,2391.32,1.23561,1.51044,1.25852,0.60259,0.45201,0.48658,0.33903,1.18201,1.29405,1.19099,0.00604,0.00604,0.00604
10,2653.25,1.2305,1.49845,1.25696,0.60408,0.45139,0.48638,0.33895,1.18059,1.29249,1.19018,0.005545,0.005545,0.005545
11,2911,1.21569,1.41357,1.24017,0.60789,0.44988,0.48726,0.33923,1.17904,1.28913,1.18906,0.00505,0.00505,0.00505
12,3169.41,1.20925,1.39334,1.23642,0.61352,0.44826,0.48813,0.3399,1.17738,1.28697,1.18814,0.004555,0.004555,0.004555
13,3427.4,1.20513,1.38026,1.23271,0.61382,0.449,0.48996,0.34145,1.17617,1.2845,1.18722,0.00406,0.00406,0.00406
14,3685.59,1.20066,1.37207,1.23124,0.61591,0.44824,0.49086,0.34194,1.17495,1.28262,1.1864,0.003565,0.003565,0.003565
15,3943.2,1.19655,1.36058,1.229,0.61368,0.45045,0.49055,0.34185,1.1744,1.28116,1.18588,0.00307,0.00307,0.00307
16,4200.46,1.19221,1.34955,1.22492,0.61425,0.44962,0.49078,0.34191,1.17455,1.27941,1.18587,0.002575,0.002575,0.002575
17,4458.44,1.18708,1.33871,1.22218,0.61331,0.44914,0.4909,0.34264,1.17451,1.2777,1.18578,0.00208,0.00208,0.00208
18,4716.92,1.18531,1.32964,1.22115,0.61713,0.4484,0.49132,0.34277,1.17431,1.2768,1.18541,0.001585,0.001585,0.001585
19,4974.79,1.17727,1.3192,1.21727,0.61863,0.44833,0.4911,0.34271,1.17346,1.27586,1.18495,0.00109,0.00109,0.00109
20,5232.29,1.17391,1.30875,1.21559,0.61576,0.4493,0.49138,0.3429,1.17298,1.27504,1.18461,0.000595,0.000595,0.000595
