epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76143,1.24852,1.75478,1.34306,0,0.00011,0,0,3.95373,4.79941,2.90817,8.33e-06,8.33e-06,8.33e-06
1,2.26356,1.31441,3.89687,1.58243,0,0,0,0,3.89778,4.58452,2.90164,0,0,0
1,377.437,1.11555,1.19002,1.19422,0.67146,0.51593,0.56334,0.39784,1.09092,1.1312,1.13705,0.00333288,0.00333288,0.00333288
2,744.98,1.10911,1.18976,1.18193,0.65087,0.53258,0.57175,0.40862,1.07853,1.10493,1.13305,0.00633624,0.00633624,0.00633624
3,1107.35,1.11235,1.20037,1.18335,0.68147,0.52002,0.57494,0.41113,1.07192,1.09146,1.13029,0.00900959,0.00900959,0.00900959
4,1467.18,1.10624,1.19813,1.18055,0.6699,0.53229,0.57726,0.41376,1.06766,1.08175,1.12698,0.008515,0.008515,0.008515
5,1826.69,1.0937,1.17434,1.1724,0.67516,0.5314,0.58034,0.41602,1.06347,1.07169,1.12162,0.00802,0.00802,0.00802
6,2186.06,1.08638,1.16187,1.16757,0.67583,0.53175,0.58216,0.41795,1.0607,1.06841,1.11974,0.007525,0.007525,0.007525
7,2545.39,1.08062,1.15103,1.16449,0.68092,0.53183,0.58284,0.41905,1.05943,1.06633,1.11819,0.00703,0.00703,0.00703
8,2905.01,1.07585,1.14314,1.16094,0.68418,0.52946,0.58273,0.41908,1.05814,1.06392,1.11706,0.006535,0.006535,0.006535
9,3264.87,1.07116,1.13726,1.15832,0.68011,0.53268,0.58343,0.41934,1.05742,1.06326,1.11641,0.00604,0.00604,0.00604
10,3626.39,1.06774,1.12865,1.15703,0.68083,0.53211,0.58381,0.4197,1.05711,1.06243,1.11613,0.005545,0.005545,0.005545
11,3983.1,1.03881,1.04116,1.12653,0.67497,0.53331,0.58369,0.41978,1.05548,1.0611,1.11461,0.00505,0.00505,0.00505
12,4336.89,1.03127,1.02385,1.12347,0.67043,0.53687,0.58433,0.42061,1.05429,1.05953,1.11382,0.004555,0.004555,0.004555
13,4690.66,1.02822,1.0138,1.11996,0.67338,0.5345,0.58515,0.42141,1.05365,1.05842,1.11307,0.00406,0.00406,0.00406
14,5043.93,1.02432,1.00515,1.11911,0.66747,0.53815,0.58529,0.42188,1.05271,1.05746,1.11242,0.003565,0.003565,0.003565
15,5397.44,1.02024,0.9974,1.11658,0.66896,0.53644,0.58529,0.42206,1.0519,1.05673,1.11192,0.00307,0.00307,0.00307
16,5750.61,1.01688,0.98909,1.11358,0.67024,0.53525,0.58536,0.42215,1.05081,1.05549,1.11114,0.002575,0.002575,0.002575
17,6104.26,1.01356,0.98019,1.11247,0.66774,0.53651,0.58575,0.42266,1.05055,1.05575,1.1109,0.00208,0.00208,0.00208
18,6457.56,1.01124,0.97352,1.11013,0.66237,0.53979,0.58564,0.42274,1.05007,1.05522,1.11042,0.001585,0.001585,0.001585
19,6810.68,1.00577,0.96474,1.10838,0.65963,0.54197,0.58551,0.42276,1.04927,1.05529,1.10995,0.00109,0.00109,0.00109
20,7164.14,1.00258,0.95597,1.10622,0.66246,0.54122,0.58585,0.42296,1.04934,1.05532,1.10983,0.000595,0.000595,0.000595
