epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.377,1.27739,1.66977,1.36685,0.54806,0.38059,0.40376,0.2772,1.22086,1.48544,1.29925,0.00333288,0.00333288,0.00333288
2,943.498,1.26597,1.69137,1.36335,0.55748,0.41005,0.43525,0.3022,1.18302,1.38143,1.27917,0.00633624,0.00633624,0.00633624
3,1376.45,1.27681,1.72186,1.37125,0.56734,0.41671,0.44135,0.30782,1.16779,1.35726,1.27152,0.00900959,0.00900959,0.00900959
4,1801.79,1.2751,1.71838,1.37219,0.56751,0.42459,0.45316,0.31734,1.16183,1.32945,1.26643,0.008515,0.008515,0.008515
5,2227.3,1.25636,1.66282,1.35756,0.56342,0.43497,0.46182,0.32312,1.15384,1.30928,1.25844,0.00802,0.00802,0.00802
6,423.699,1.24617,1.63566,1.3504,0.57607,0.43424,0.46447,0.32614,1.14888,1.29913,1.25596,0.007525,0.007525,0.007525
7,852.956,1.23823,1.61705,1.34424,0.58769,0.43221,0.46721,0.32804,1.14579,1.29479,1.25279,0.00703,0.00703,0.00703
8,1278.89,1.23065,1.5988,1.33911,0.59719,0.43176,0.46785,0.32897,1.14443,1.29242,1.25102,0.006535,0.006535,0.006535
9,1705.59,1.22369,1.58488,1.33512,0.59483,0.4333,0.46924,0.33039,1.14387,1.28883,1.25061,0.00604,0.00604,0.00604
10,2130.63,1.21979,1.57081,1.33063,0.5975,0.43489,0.47066,0.33137,1.14317,1.28663,1.24993,0.005545,0.005545,0.005545
11,2547.62,1.20471,1.48464,1.31632,0.59562,0.43555,0.47108,0.33204,1.14109,1.28328,1.24892,0.00505,0.00505,0.00505
12,2968.66,1.19515,1.45558,1.30769,0.59226,0.43819,0.47137,0.33244,1.13981,1.28122,1.24765,0.004555,0.004555,0.004555
13,3384.5,1.1894,1.43979,1.30356,0.59442,0.43765,0.47175,0.33294,1.13784,1.27787,1.24614,0.00406,0.00406,0.00406
14,3801.96,1.1825,1.42149,1.29968,0.59378,0.43777,0.47264,0.3335,1.13611,1.2747,1.24498,0.003565,0.003565,0.003565
15,4216.28,1.17608,1.40431,1.29546,0.59128,0.43828,0.47323,0.33446,1.13514,1.27156,1.24449,0.00307,0.00307,0.00307
16,4631.1,1.17084,1.39046,1.29037,0.59162,0.43923,0.47437,0.33515,1.13418,1.26857,1.24302,0.002575,0.002575,0.002575
17,5045.87,1.16522,1.37115,1.28517,0.58134,0.4444,0.47531,0.33561,1.13363,1.26613,1.24167,0.00208,0.00208,0.00208
18,5461.19,1.15839,1.35787,1.28105,0.58789,0.44396,0.47664,0.33669,1.13269,1.26386,1.24009,0.001585,0.001585,0.001585
19,5876.15,1.15188,1.34043,1.27497,0.58778,0.4459,0.47704,0.33769,1.13275,1.26235,1.23861,0.00109,0.00109,0.00109
20,6291.03,1.14637,1.32627,1.2716,0.58949,0.44464,0.47767,0.33791,1.13225,1.26087,1.2374,0.000595,0.000595,0.000595
